,Unnamed: 0.1,Unnamed: 0,주차장명,도로명주소,완속충전기수,운영시간,"요금(유료=1, 무료=0)",전체충전기수,1시(이용량),3시,5시,7시,9시,11시,13시,15시,17시,19시,21시,23시,cell_xcrd,cell_ycrd
0,0,0,기흥ICT밸리 A동 전기차충전소,경기 용인시 기흥구 기흥로 58-1,12,9,1,12,0,0,0,0,0,0,0,0,1,1,0,0,127.1193559,37.28002299
1,3,3,이케아 기흥점 전기차충전소,경기 용인시 기흥구 신고매로 62 P1주차장,7,24,1,8,0,0,0,0,0,0,0,0,0,0,0,0,127.1161827,37.22262615
2,4,4,모현면사무소 전기차충전소,경기 용인시 처인구 모현읍 독점로 31-6,0,24,1,1,0,0,0,0,1,1,0,0,0,0,0,0,127.2423619,37.32953302
3,5,5,고영테크놀러지 RnD센터 전기차충전소,경기 용인시 수지구 포은대로59번길 18,10,9,1,13,0,0,0,0,0,0,0,0,0,0,0,0,127.066816,37.30118445
4,6,6,용인시 여성회관 주차장 전기차충전소,경기 용인시 수지구 문정로7번길 7 지하1층,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,1,127.0961545,37.32103261
5,7,7,에버랜드 셔틀버스 승강장 전기차충전소,경기 용인시 처인구 포곡읍 전대리 210-8,0,24,1,8,0,0,0,0,0,3.2,0,1.6,1.6,1.6,0,0,127.2200928,37.2870218
9,12,12,효성빌라 전기차충전소,경기 용인시 기흥구 언남로29번길 40,3,24,1,3,2,2,2,1,0,0,0,0,0,0,1,1,127.13033,37.29665926
11,15,15,기아차 오산교육센터 전기차충전소,경기 용인시 처인구 남사읍 처인성로 57,0,24,1,3,0,0,0,0,0,0,0,0,0,0,0,0,127.1379363,37.11097501
12,17,17,죽전휴게소(서울방향) 전기차충전소,경기 용인시 수지구 경부고속도로 400,0,24,1,4,1,2,0,1,2,4,1,3,2,2,2,0,127.1048554,37.33259222
13,18,18,에버랜드 홈브리지 캐빈호스텔 전기차충전소,경기 용인시 처인구 포곡읍 에버랜드로 199,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.202128,37.2940667
14,19,19,기아오토큐 용인기아서비스 전기차충전소,경기 용인시 처인구 양지면 양지로 91,0,24,1,1,0,0,0,0,1,1,1,0,0,0,0,0,127.2782913,37.2340486
15,20,20,에버랜드 셔틀버스 주차장 전기차충전소,경기 용인시 처인구 포곡읍 전대리 210-16,6,24,1,6,0,0,0,0,0,0,0,0,0,0,0,0,127.2178189,37.28736299
19,25,25,용인시 용인중앙시장제1공영주차장,경기 용인시 처인구 금령로71번길 12-29,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.2052506,37.23663279
20,27,27,용인 더숨포레스트 전기차충전소,경기 용인시 처인구 포곡읍 성산로 633,2,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.2078735,37.28713147
21,28,28,파크존 스크린골프장 전기차충전소,경기 용인시 수지구 신봉1로 313-4,2,9,1,2,1,0,0,0,1,0,0,0,0,0,0,0,127.0548682,37.332001
22,29,29,한국민속촌 주차장 전기차충전소,경기 용인시 기흥구 민속촌로 93,5,9,1,8,3,3,3,3,5,4,8,7,4,4,2,6,127.114696,37.25720972
23,30,30,롯데프리미엄아울렛 기흥점 테슬라전용,경기 용인시 기흥구 신고매로 124,0,24,1,12,6,6,6,6,6,6,6,6,6,6,6,6,127.1209127,37.22537006
26,33,33,용인휴게소 인천방향 전기차충전소,경기 용인시 처인구 주북로 66-14,0,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.2383059,37.24836239
28,35,35,나인무인텔 전기차충전소,경기 용인시 처인구 원삼면 좌찬로 142,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.3204022,37.20829086
30,37,37,녹십자홀딩스 전기차충전소,경기 용인시 기흥구 이현로30번길 107 지하 주차장 전기실 부근,4,24,1,4,0,0,0,0,0,0,0,0,3,3,0,0,127.1004266,37.31777155
31,38,38,블루원용인CC 전기차충전소,경기 용인시 처인구 원삼면 보개원삼로1534번길 40 주차장,3,24,1,3,0,0,0,0,1,1,0,0,0,0,0,0,127.3259002,37.13417322
33,40,40,한국델파이 전기차충전소,경기 용인시 기흥구 용구대로 2302,0,24,1,1,1,1,1,1,1,1,1,0,1,1,0,0,127.1118257,37.29185962
34,42,42,백암면사무소 전기차충전소,경기 용인시 처인구 백암면 백암로 189 지상1층 주차장,0,24,1,1,0,0,0,0,0,0,1,0,0,0,1,0,127.3753789,37.16340683
36,44,44,용인동부경찰서 전기차충전소,경기 용인시 처인구 금학로 143,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.1804314,37.24155777
37,45,45,기흥ICT밸리 B동 전기차충전소,경기 용인시 기흥구 기흥로 58,12,9,1,13,1,2,2,2,2,2,2,2,2,2,2,2,127.1179562,37.28056186
38,46,46,유니버스트윈2차오피스텔 전기차충전소,경기 용인시 처인구 명지로60번길 8-11,0,24,1,1,0,0,0,0,0,0,0,1,0,0,0,0,127.1872947,37.23154686
40,48,48,기흥휴게소 부산방향 전기차충전소,경기 용인시 기흥구 공세로 173,0,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.1043162,37.23637672
41,49,49,삼천리 에버랜드 복합충전소 전기차충전소,경기 용인시 처인구 포곡읍 곡현로 74,0,24,1,5,0,0,0,0,0,0,0,0,1.25,1.25,0,0,127.2226093,37.29327236
42,50,50,구성동주민센터 전기차충전소,경기 용인시 기흥구 구성로77번길 17,0,24,1,2,1,2,2,2,2,2,2,2,2,2,2,2,127.1189815,37.29676402
45,54,54,용인실내체육관 전기차충전소,경기 용인시 처인구 경안천로 76,0,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.2135865,37.23853809
48,57,57,용인 청안빌라 전기차충전소,경기 용인시 수지구 현암로89번길 18-14,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.1191663,37.33256506
50,59,59,워시홀릭 전기차충전소,경기 용인시 기흥구 보정동 375-11,0,24,1,4,0,0,0,1,2,0,2,2,2,2,2,2,127.1055203,37.32091785
55,64,64,이마트 죽전점 전기차충전소,경기 용인시 수지구 포은대로 552 지상6층 주차장 B구역,0,12,1,12,3,1,1,0,0,2,2,0,0,0,0,1,127.1099743,37.32533399
57,66,66,현대자동차 마북캠퍼스 전기차충전소,경기 용인시 기흥구 마북로240번길 17-4,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.1400782,37.31138203
60,69,69,동부동주민센터 전기차충전소,경기 용인시 처인구 마평동 533-8,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.2191469,37.23285171
61,70,70,동백동주민센터 전기차충전소,경기 용인시 기흥구 동백중앙로 214 지하2층 주차장 벽면,0,24,1,1,0,0,0,0,1,0,1,0,0,0,1,0,127.1516873,37.27253257
68,77,77,운학동예비군훈련장 전기차충전소,경기 용인시 처인구 묵동로 73-1,0,24,1,4,0,0,0,0,0,0,2,2,2,2,0,0,127.2385587,37.21491644
69,78,78,모현다목적복지회관 전기차충전소,경기 용인시 처인구 모현읍 일산리 554-13,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.2311031,37.34232781
73,82,82,용인시기후변화체험교육센터 전기차충전소,경기 용인시 처인구 동부로162번길 14 지상1층 주차장,0,24,1,1,0,0,0,0,0,0,0,0,0,0,1,1,127.2228402,37.222622
76,85,85,양지면사무소 전기차충전소,경기 용인시 처인구 양지면 양지로105번길 5,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.2798389,37.2354869
77,86,86,현대블루핸즈 구성서비스 전기차충전소,경기 용인시 기흥구 중동 1112-8,0,24,1,1,1,1,1,1,0,0,0,0,0,0,0,1,127.1428125,37.2827905
78,87,87,모현농협 하나로마트 전기차충전소,경기 용인시 처인구 모현읍 백옥대로 2373,0,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.2488191,37.33557156
79,88,88,용인시 기흥테라타워 전기차충전소,경기 용인시 기흥구 서천로201번길 11 주차장,4,24,1,6,1,1,0,0,0,1,2,1,0,0,0,1,127.0718941,37.23142599
80,89,89,아르피아주차장 전기차충전소,경기 용인시 수지구 포은대로 499,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.1047625,37.32561804
81,90,90,용인하갈정비소 전기차충전소,경기 용인시 기흥구 용구대로 1845,0,24,1,1,0,0,0,0,0,1,1,0,0,0,1,1,127.1047795,37.25295779
82,91,91,용인시 롯데프리미엄아울렛기흥점,경기 용인시 기흥구 신고매로 124,5,24,1,5,0,0,0,0,1.25,0,5,5,1.25,1.25,0,0,127.1209127,37.22537006
83,92,92,한화리조트 용인 베잔송 전기차충전소 (테슬라전용),경기 용인시 처인구 남사읍 봉무로153번길 79,0,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.1469823,37.13362839
85,95,95,이동읍사무소 전기차충전소,경기 용인시 처인구 이동읍 경기동로 673,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.1961973,37.14112038
86,96,96,제이앤제이카페앤바 전기차충전소,경기 용인시 처인구 양지면 남평로 114,2,24,1,2,0,1,1,0,0,0,0,0,0,0,1,1,127.2952405,37.22631679
87,97,97,오토허브서비스 전기차충전소,경기 용인시 기흥구 중부대로 242-2,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.0917355,37.26757136
88,98,98,롯데슈퍼 용인점 전기차충전소,경기 용인시 처인구 김량장동 13,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.2104885,37.2306357
90,100,100,광교SB타운 전기차충전소,경기 용인시 수지구 광교마을로 54,0,24,1,1,0,0,0,0,0,1,1,1,1,1,0,0,127.0705108,37.29820366
91,101,101,상갈공영주차장 전기차충전소,경기 용인시 기흥구 금화로105번길 3,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.106739,37.26584933
92,102,102,역삼동행정복지센터 전기차충전소,경기 용인시 처인구 명지로 16,0,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,127.1881482,37.23455978
95,106,106,경기 용인시 처인구 모현읍 오산로13번길 38-34 저압수용가,경기 용인시 처인구 모현읍 오산로13번길 38-34,0,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,127.1620386,37.3316676
97,108,108,처인구청부설주차장 전기차충전소,경기 용인시 처인구 금령로 50 지상1층 주차장,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.2013372,37.23437996
99,110,110,마북동주민센터 전기차충전소,경기 용인시 기흥구 마북동 162-4,0,24,1,1,0,0,0,0,0,0,0,0,0,0,1,0,127.1176507,37.30159238
100,111,111,용인시민체육센터 제2주차장 전기차충전소,경기 용인시 처인구 포곡읍 금어로 317,0,24,1,4,0,0,0,0,1,1,1,0,0,0,0,0,127.2457929,37.27638286
103,114,114,양우내안에에듀퍼스트2 전기차충전소,경기 용인시 처인구 경안천로 196-1 202동,2,24,1,2,0,0,0,0,0,0,1,0,0,0,0,0,127.2211929,37.24918797
105,116,116,용인 동천역루체스타 전기차충전소,경기 용인시 수지구 신수로783번길 12-1,0,24,1,1,1,1,1,1,0,0,0,0,0,0,1,1,127.1017409,37.34040228
107,118,118,효심의료재단용인서울병원 전기차충전소,경기 용인시 처인구 고림로 81,2,24,1,2,0,0,0,0,0,0,1,1,0,0,0,0,127.2144905,37.24031755
108,119,119,용인흥덕4단지 임차인대표회의 전기차충전소,경기 용인시 기흥구 흥덕2로 42,8,24,1,8,4,4,4,4,4,4,4,4,4,4,4,4,127.0736312,37.27148028
110,121,121,한국소방산업기술원 전기차충전소,경기 용인시 기흥구 지삼로 331,0,10,1,4,1,0,0,0,0,0,0,0,1,1,0,1,127.1454449,37.23543402
111,122,122,삼성화재교통박물관 전기차충전소,경기 용인시 처인구 포곡읍 에버랜드로376번길 171 박물관뒷편 주차장,7,9,1,9,0,0,0,0,0,0,0,3,0,0,0,0,127.2169538,37.30037229
114,125,125,지산리조트 전기차충전소,경기 용인시 처인구 원삼면 죽양대로2000번길 60,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.3358449,37.20987573
115,126,126,삼성전자 기흥캠퍼스 전기차충전소,경기 용인시 기흥구 삼성로 1,20,9,1,21,1.25,1.25,1.25,1.25,3.75,3.75,2.5,1.25,3.75,3.75,1.25,2.5,127.0877637,37.22694447
118,129,129,한국전기 전기차충전소,경기 용인시 수지구 고기로 203,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.0832797,37.35113256
119,130,130,용인시청 신봉동주민센터 전기차충전소,경기 용인시 수지구 수지로 215,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.0836395,37.32066575
124,137,137,기흥도서관 전기차충전소,경기 용인시 기흥구 기흥로116번길 10 지하1층 주차장 벽면,0,24,1,1,0,0,0,0,0,0,1,1,0,0,0,0,127.1135998,37.28617851
125,138,138,다우기술 전기차충전소,경기 용인시 수지구 디지털벨리로 81,3,24,1,3,1,1,1,1,1,1,1,1,3,3,1,1,127.137298,37.33313847
126,139,139,양우내안에에듀퍼스트1 전기차충전소,경기 용인시 처인구 경안천로 196-1 203동,2,24,1,2,0,0,0,0,0,0,0,0,0,0,1,1,127.2211929,37.24918797
130,143,143,용인휴게소 강릉방향 전기차충전소,경기 용인시 처인구 양지면 주북리 958-5,0,24,1,2,0,0,1,1,1,2,0,0,0,0,1,0,127.2431195,37.24551135
133,146,146,용인수지우체국 전기차충전소,경기 용인시 수지구 문정로 3,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.0968436,37.32124532
135,148,148,어반런드렛 전기차충전소,경기 용인시 기흥구 용구대로2469번길 47,4,9,1,4,1,1,1,1,1,0,0,0,0,0,0,0,127.1048714,37.31089938
138,151,151,동천동주민센터 전기차충전소,경기 용인시 수지구 신수로783번길 40,0,9,1,1,0,0,0,0,0,0,0,0,0,0,1,1,127.099239,37.34186011
139,153,153,자연앤6단지3 전기차충전소,경기 용인시 기흥구 강남동로 46,2,24,1,2,1,1,1,1,0,2,0,1,0,0,1,1,127.1318498,37.2697067
140,154,154,신촌마을죽전스타클래스타운하우스5블럭,경기 용인시 기흥구 신촌로 78,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.1127154,37.30614318
141,155,155,상현도서관 전기차충전소,경기 용인시 수지구 법조로 232,0,9,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.0742891,37.29996008
143,157,157,기아비전스퀘어 전기차충전소,경기 용인시 처인구 양지면 남평로326번길 11,4,24,1,4,0,0,0,0,0,0,0,0,0,0,0,0,127.3118786,37.22157367
144,158,158,플랫폼시티아이브오피스텔 전기차충전소,경기 용인시 기흥구 용구대로2360번길 15,2,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.110283,37.29836313
145,159,159,용인서부경찰서 전기차충전소,경기 용인시 기흥구 보정동 1290,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.106614,37.30930597
146,160,160,서농동주민센터 전기차충전소,경기 용인시 기흥구 서천서로 79,0,24,1,1,0,0,0,0,0,1,0,0,0,0,0,0,127.0683832,37.23797804
147,161,161,양우내안애에듀퍼스트 전기차충전소,경기 용인시 처인구 경안천로 196-1,10,24,1,10,5,5,5,5,5,5,5,5,5,5,5,5,127.2211929,37.24918797
153,167,167,용인평온의숲 전기차충전소,경기 용인시 처인구 이동읍 평온의숲로 77,0,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.2225342,37.11903789
156,170,170,죽전1동주민센터 전기차충전소,경기 용인시 수지구 죽전동 1070-9,0,9,1,1,0,0,0,0,1,1,1,0,0,0,1,0,127.1138652,37.33109719
158,172,172,한국 대중불교불이종 동도사 전기차충전소,경기 용인시 처인구 이동읍 어진로 842,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.1983431,37.10778149
164,178,178,용인휴게소 서창방향 전기차충전소,경기 용인시 처인구 주북로 66-14,0,24,1,2,1,0,0,0,0,1,2,1,1,1,0,0,127.2383059,37.24836239
165,179,179,리빙파워센터 전기차충전소,경기 용인시 기흥구 신고매로 59 리빙파워센터 주차장 1Fm층 C16,5,24,1,7,1.166666667,1.166666667,1.166666667,1.166666667,1.166666667,1.166666667,1.166666667,1.166666667,0,0,1.166666667,2.333333333,127.1142482,37.22341519
168,182,182,동부도서관 전기차충전소,경기 용인시 처인구 명지로 27,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.1904024,37.23348159
171,185,185,기흥동행정복지센터 전기차충전소,경기 용인시 기흥구 고매로43번길 12-14,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.1155323,37.23152688
173,187,187,경기도 용인시 처인구 동부로 19 (저압수용가),경기 용인시 처인구 동부로 19,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.2140819,37.23142768
174,188,188,수지구청 전기차충전소,경기 용인시 수지구 포은대로 435,0,24,1,2,0,0,0,2,0,1,0,1,2,2,0,0,127.0978219,37.32225475
178,192,192,양우내안에에듀퍼스트5 전기차충전소,경기 용인시 처인구 경안천로 196-1 217동,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.2211929,37.24918797
184,198,198,용인 중앙동행정복지센터 전기차충전소,경기 용인시 처인구 김량장동 303-14,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.2052456,37.23408104
187,201,201,삼성물산리조트지원센터 전기차충전소,경기 용인시 처인구 포곡읍 에버랜드로 199,5,24,1,5,0,0,0,0,0,0,0,0,0,0,0,0,127.202128,37.2940667
189,204,204,강남앤플러스 전기차충전소,경기 용인시 기흥구 강남로 3,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.1261326,37.27105025
190,205,205,포곡읍행정복지센터 전기차충전소,경기 용인시 처인구 포곡읍 포곡로 258,0,24,1,2,0,0,0,0,0,0,1,1,0,0,0,0,127.2308231,37.27781781
191,206,206,이브이세상 전기차충전소,경기 용인시 처인구 모현읍 모산로 43,2,24,1,2,0,0,0,0,0,0,0,0,0,0,1,1,127.2555709,37.34803298
194,209,209,용인축구센터 전기차충전소,경기 용인시 처인구 원삼면 보개원삼로 1752,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.3193171,37.1539468
